dates,RA,DEC
"OCT  9, 2021",13:01:25,-06:32:51
"OCT 10, 2021",13:05:06,-06:55:34
"OCT 11, 2021",13:08:46,-07:18:06
"OCT 12, 2021",13:12:28,-07:40:38
"OCT 13, 2021",13:16:11,-08:03:04
"OCT 14, 2021",13:19:53,-08:25:17
"OCT 15, 2021",13:23:36,-08:47:29
"OCT 16, 2021",13:27:21,-09:09:33
"OCT 17, 2021",13:31:04,-09:31:24
"OCT 18, 2021",13:34:49,-09:53:12
"OCT 19, 2021",13:38:35,-10:14:51
"OCT 20, 2021",13:42:21,-10:36:16
"OCT 21, 2021",13:46:08,-10:57:37
"OCT 22, 2021",13:49:56,-11:18:48
"OCT 23, 2021",13:53:43,-11:39:44
"OCT 24, 2021",13:57:33,-12:00:34
"OCT 25, 2021",14:01:23,-12:21:14
"OCT 26, 2021",14:05:12,-12:41:36
"OCT 27, 2021",14:09:04,-13:01:53
"OCT 28, 2021",14:12:56,-13:21:57
"OCT 29, 2021",14:16:48,-13:41:43
"OCT 30, 2021",14:20:42,-14:01:21
"OCT 31, 2021",14:24:36,-14:20:46
"NOV  1, 2021",14:28:31,-14:39:52
"NOV  2, 2021",14:32:27,-14:58:49
"NOV  3, 2021",14:36:24,-15:17:31
"NOV  4, 2021",14:40:21,-15:35:53
"NOV  5, 2021",14:44:20,-15:54:05
"NOV  6, 2021",14:48:19,-16:12:01
"NOV  7, 2021",14:52:19,-16:29:36
"NOV  8, 2021",14:56:20,-16:46:59
"NOV  9, 2021",15:00:22,-17:04:05
"NOV 10, 2021",15:04:24,-17:20:49
"NOV 11, 2021",15:08:28,-17:37:19
"NOV 12, 2021",15:12:32,-17:53:31
"NOV 13, 2021",15:16:36,-18:09:21
"NOV 14, 2021",15:20:43,-18:24:55
"NOV 15, 2021",15:24:50,-18:40:10
"NOV 16, 2021",15:28:56,-18:55:02
"NOV 17, 2021",15:33:05,-19:09:37
"NOV 18, 2021",15:37:15,-19:23:51
"NOV 19, 2021",15:41:24,-19:37:41
"NOV 20, 2021",15:45:35,-19:51:13
"NOV 21, 2021",15:49:47,-20:04:23
"NOV 22, 2021",15:53:59,-20:17:08
"NOV 23, 2021",16:02:27,-20:29:34
"NOV 24, 2021",16:06:41,-20:41:37
"NOV 25, 2021",16:10:57,-20:53:14
"NOV 26, 2021",16:15:13,-21:04:30
"NOV 27, 2021",16:19:30,-21:15:23
"NOV 28, 2021",16:23:48,-21:25:49
"NOV 29, 2021",16:28:07,-21:35:53
"NOV 30, 2021",16:32:25,-21:45:33
"DEC  1, 2021",16:36:45,-21:54:45
"DEC  2, 2021",16:41:06,-22:03:34
"DEC  3, 2021",16:45:26,-22:11:58
"DEC  4, 2021",16:49:48,-22:19:54
"DEC  5, 2021",16:54:10,-22:27:26
"DEC  6, 2021",16:58:32,-22:34:32
"DEC  7, 2021",17:02:55,-22:41:09
"DEC  8, 2021",17:07:19,-22:47:22
"DEC  9, 2021",17:11:42,-22:53:07
"DEC 10, 2021",17:16:07,-22:58:24
"DEC 11, 2021",17:20:32,-23:03:15
"DEC 12, 2021",17:24:56,-23:07:39
"DEC 13, 2021",17:29:21,-23:11:34
"DEC 14, 2021",17:33:47,-23:15:03
"DEC 15, 2021",17:38:12,-23:18:03
"DEC 16, 2021",17:42:38,-23:20:35
"DEC 17, 2021",17:47:04,-23:22:39
"DEC 18, 2021",17:51:30,-23:24:16
"DEC 19, 2021",17:55:56,-23:25:24
"DEC 20, 2021",18:00:23,-23:26:04
"DEC 21, 2021",18:04:48,-23:26:15
"DEC 22, 2021",18:09:15,-23:25:59
"DEC 23, 2021",18:13:42,-23:25:14
"DEC 24, 2021",18:18:07,-23:24:01
"DEC 25, 2021",18:22:34,-23:22:20
"DEC 26, 2021",18:27:00,-23:20:10
"DEC 27, 2021",18:31:25,-23:17:32
"DEC 28, 2021",18:35:52,-23:14:27
"DEC 29, 2021",18:40:17,-23:10:53
"DEC 30, 2021",18:44:42,-23:06:51
"DEC 31, 2021",18:49:07,-23:02:23
